From,To,To_Width,To_Height,Distance
key1,y,5.08,7.62,21.70176951
key1,u,5.08,7.62,26.51837853
key1,i,5.08,7.62,31.41806487
key1,o,5.08,7.62,36.3672655
key1,p,5.08,7.62,41.34820431
key1,a,5.08,7.62,15.45021683
key1,s,5.08,7.62,15.45021683
key1,d,5.08,7.62,17.03883799
key1,f,5.08,7.62,19.83803418
key1,g,5.08,7.62,23.41764292
key1,h,5.08,7.62,27.47430072
key1,j,5.08,7.62,31.82610878
key1,k,5.08,7.62,36.3672655
key1,l,5.08,7.62,41.03495583
key1,Shift Key,7.62,7.62,34.57690161
key1,z,5.08,7.62,22.8952506
key1,x,5.08,7.62,23.72555795
key1,c,5.08,7.62,25.55825698
key1,v,5.08,7.62,28.19857621
key1,b,5.08,7.62,31.44372274
key1,n,5.08,7.62,35.12646438
key1,m,5.08,7.62,39.12342137
key1,Delete Key,8.89,7.62,44.97754801
key1,Smiley key,10.16,7.62,30.58565023
key1,Comma key,5.08,7.62,31.13443271
key1, ,17.78,7.62,34.66425392
key1,Fullstop key,10.16,7.62,42.21675615
key1,Fullstop key,10.16,7.62,48.79180669
key1,key1,7.62,7.62,0
key1,key2,7.62,7.62,16.38
key1,key3,7.62,7.62,35.56
key2,q,5.08,7.62,22.77270296
key2,w,5.08,7.62,18.06568017
key2,e,5.08,7.62,13.62917459
key2,r,5.08,7.62,9.836300117
key2,t,5.08,7.62,7.704803696
key2,y,5.08,7.62,8.578344829
key2,u,5.08,7.62,11.80782791
key2,i,5.08,7.62,16.02730171
key2,o,5.08,7.62,20.63823636
key2,p,5.08,7.62,25.42856661
key2,a,5.08,7.62,24.29452613
key2,s,5.08,7.62,20.586481
key2,d,5.08,7.62,17.5782593
key2,f,5.08,7.62,15.67801008
key2,g,5.08,7.62,15.30416937
key2,h,5.08,7.62,16.56043478
key2,j,5.08,7.62,19.12828272
key2,k,5.08,7.62,22.56429037
key2,l,5.08,7.62,26.53329983
key2,Shift Key,7.62,7.62,40.11838388
key2,z,5.08,7.62,27.40240318
key2,x,5.08,7.62,24.96358348
key2,c,5.08,7.62,23.38978623
key2,v,5.08,7.62,22.86036964
key2,b,5.08,7.62,23.44618732
key2,n,5.08,7.62,25.06917829
key2,m,5.08,7.62,27.54662411
key2,Delete Key,8.89,7.62,31.97382719
key2,Smiley key,10.16,7.62,35.87473763
key2,Comma key,5.08,7.62,32.08786842
key2, ,17.78,7.62,30.48027723
key2,Fullstop key,10.16,7.62,33.07021772
key2,Fullstop key,10.16,7.62,37.42711317
key2,key1,7.62,7.62,16.38
key2,key2,7.62,7.62,0
key2,key3,7.62,7.62,19.18
key3,q,5.08,7.62,41.34820431
key3,w,5.08,7.62,36.3672655
key3,e,5.08,7.62,31.41806487
key3,r,5.08,7.62,26.51837853
key3,t,5.08,7.62,21.70176951
key3,y,5.08,7.62,17.03883799
key3,u,5.08,7.62,12.7
key3,i,5.08,7.62,9.15810024
key3,o,5.08,7.62,7.62
key3,p,5.08,7.62,9.15810024
key3,a,5.08,7.62,41.03495583
key3,s,5.08,7.62,36.3672655
key3,d,5.08,7.62,31.82610878
key3,f,5.08,7.62,27.47430072
key3,g,5.08,7.62,23.41764292
key3,h,5.08,7.62,19.83803418
key3,j,5.08,7.62,17.03883799
key3,k,5.08,7.62,15.45021683
key3,l,5.08,7.62,15.45021683
key3,Shift Key,7.62,7.62,52.68969657
key3,z,5.08,7.62,41.21145108
key3,x,5.08,7.62,37.09182794
key3,c,5.08,7.62,33.23908091
key3,v,5.08,7.62,29.75705127
key3,b,5.08,7.62,26.79067935
key3,n,5.08,7.62,24.52777405
key3,m,5.08,7.62,23.17532524
key3,Delete Key,8.89,7.62,23.07943294
key3,Smiley key,10.16,7.62,48.79180669
key3,Comma key,5.08,7.62,42.21675615
key3, ,17.78,7.62,35.94346811
key3,Fullstop key,10.16,7.62,31.13443271
key3,Fullstop key,10.16,7.62,30.58565023
key3,key1,7.62,7.62,35.56
key3,key2,7.62,7.62,19.18
key3,key3,7.62,7.62,0
